LC-IMPACT_Name,Formula,Radiative Forcing 100(W m-2 yr kg-1),Temperature increase (C/kg),US_EPA_Name
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",CF3CF2CF2OCHFCF3,5.95E-10,5.95E-10,-
"2,2,3,3-Tetrafluoro-1-propanol",CHF2CF2CH2OH,1.19E-12,1.19E-12,-
"2,2,3,4,4,4-Hexafluoro-1-butanol",CF3CHFCF2CH2OH,1.56E-12,1.56E-12,-
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",CF3CF2CF2CH2OH,1.49E-12,1.49E-12,-
"1,1,2,2-Tetrafluoro-3-methoxy-propane",CHF2CF2CH2OCH3,4.82E-14,4.82E-14,-
perfluoro-2-methyl-3-pentanone,CF3CF2C(O)CF(CF3)2,9.14E-15,9.14E-15,-
"3,3,3-Trifluoropropanal",CF3CH2CHO,9.86E-16,9.86E-16,-
2-Fluoroethanol,CH2FCH2OH,8.07E-14,8.07E-14,-
"2,2-Difluoroethanol",CHF2CH2OH,2.78E-13,2.78E-13,-
"2,2,2-Trifluoroethanol",CF3CH2OH,1.83E-12,1.83E-12,-
"1,1'-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",HCF2O(CF2CF2O)2CF2H,4.51E-10,4.51E-10,-
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-Tetraoxadodecane",HCF2O(CF2CF2O)3CF2H,4.12E-10,4.12E-10,-
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eicosafluoro-2,5,8,11,14-Pentaoxapentadecane",HCF2O(CF2CF2O)4CF2H,3.33E-10,3.33E-10,-
