Other land transportation services,p60.2,C_TLND,Other land transportation services,p60.2,C_TLND
Transportation services via pipelines,p60.3,C_TPIP,Transportation services via pipelines,p60.3,C_TPIP
Sea and coastal water transportation services,p61.1,C_TWAS,Sea and coastal water transportation services,p61.1,C_TWAS
Inland water transportation services,p61.2,C_TWAI,Inland water transportation services,p61.2,C_TWAI
Air transport services (62),p62,C_TAIR,Air transport services (62),p62,C_TAIR
Supporting and auxiliary transport services; travel agency services (63),p63,C_TAUX,Supporting and auxiliary transport services; travel agency services (63),p63,C_TAUX
Post and telecommunication services (64),p64,C_PTEL,Post and telecommunication services (64),p64,C_PTEL
Financial intermediation services; except insurance and pension funding services (65),p65,C_FINT,"Financial intermediation services, except insurance and pension funding services (65)",p65,C_FINT
Insurance and pension funding services; except compulsory social security services (66),p66,C_FINS,"Insurance and pension funding services, except compulsory social security services (66)",p66,C_FINS
Services auxiliary to financial intermediation (67),p67,C_FAUX,Services auxiliary to financial intermediation (67),p67,C_FAUX
Real estate services (70),p70,C_REAL,Real estate services (70),p70,C_REAL
Renting services of machinery and equipment without operator and of personal and household goods (71),p71,C_MARE,Renting services of machinery and equipment without operator and of personal and household goods (71),p71,C_MARE
Computer and related services (72),p72,C_COMP,Computer and related services (72),p72,C_COMP
Research and development services (73),p73,C_RESD,Research and development services (73),p73,C_RESD
Other business services (74),p74,C_OBUS,Other business services (74),p74,C_OBUS
Public administration and defence services; compulsory social security services (75),p75,C_PADF,Public administration and defence services; compulsory social security services (75),p75,C_PADF
Education services (80),p80,C_EDUC,Education services (80),p80,C_EDUC
Health and social work services (85),p85,C_HEAL,Health and social work services (85),p85,C_HEAL
Food waste for treatment: incineration,p90.1.a,C_INCF,Food waste for treatment: incineration,p90.1.a,C_INCF
Paper waste for treatment: incineration,p90.1.b,C_INCP,Paper waste for treatment: incineration,p90.1.b,C_INCP
Plastic waste for treatment: incineration,p90.1.c,C_INCL,Plastic waste for treatment: incineration,p90.1.c,C_INCL
Intert/metal waste for treatment: incineration,p90.1.d,C_INCM,Intert/metal waste for treatment: incineration,p90.1.d,C_INCM
Textiles waste for treatment: incineration,p90.1.e,C_INCT,Textiles waste for treatment: incineration,p90.1.e,C_INCT
Wood waste for treatment: incineration,p90.1.f,C_INCW,Wood waste for treatment: incineration,p90.1.f,C_INCW
Oil/hazardous waste for treatment: incineration,p90.1.g,C_INCO,Oil/hazardous waste for treatment: incineration,p90.1.g,C_INCO
