SITC4code,SITC4part,CPC2code,CPC2part
513.74,0,34140,1
513.75,0,34140,1
513.76,0,34140,1
513.77,0,34140,1
513.78,0,34140,1
513.79,0,34140,1
513.81,0,34140,1
513.82,0,34140,1
513.83,0,34140,1
513.84,0,34140,1
513.85,0,34140,1
513.89,0,34140,1
513.91,0,34140,1
513.92,0,34140,1
513.93,0,35210,0
513.94,0,34140,1
513.95,0,34140,1
513.96,0,34140,1
514.51,0,34150,1
514.52,0,34150,1
514.53,0,34150,1
514.54,0,34150,1
514.55,0,34150,1
514.61,0,34150,1
514.62,0,34150,1
514.63,0,34150,1
514.64,0,35220,1
514.65,0,34150,1
514.67,0,34150,1
514.71,0,35220,1
514.73,0,34150,1
514.79,0,35220,1
514.81,0,35220,1
514.82,0,34150,1
514.83,0,34150,1
514.84,0,34150,1
514.85,0,34150,1
514.86,0,34150,1
514.89,0,34150,1
515.42,0,34160,1
515.43,0,34160,1
515.44,0,34160,1
515.49,0,34160,1
515.5,0,34160,1
515.61,0,34160,1
515.62,0,34160,1
515.63,0,35230,1
515.69,0,34160,1
515.71,0,35230,1
515.72,0,35230,1
515.73,0,34160,1
515.74,0,34160,1
515.75,0,34160,1
515.76,1,34160,1
515.76,1,35230,1
515.77,0,34160,1
515.78,0,35230,1
515.79,0,34160,1
515.8,0,35230,1
516.12,0,34170,1
516.13,0,34170,1
516.14,0,34170,1
516.15,0,34170,1
516.16,0,34170,1
516.17,0,34170,1
516.21,0,34170,1
516.22,0,34170,1
516.23,0,34170,1
516.24,0,34170,1
516.25,0,34170,1
516.26,0,34170,1
516.27,0,34170,1
516.28,0,34170,1
516.29,0,34170,1
516.31,0,34180,1
516.39,0,34180,1
516.91,0,34170,1
516.92,0,35240,0
516.99,0,34170,1
522.1,0,34231,1
522.21,0,34210,1
522.22,0,34231,1
522.23,0,34231,1
522.24,0,34231,1
522.25,0,34231,1
522.26,0,34231,1
522.27,0,34231,1
522.28,0,34231,1
522.29,0,34231,1
522.31,0,34231,1
522.32,0,34231,1
522.33,0,34233,0
522.34,1,34231,1
522.34,1,34232,0
522.35,0,34231,1
522.36,0,34231,1
522.37,0,34231,1
522.39,0,34210,1
522.41,0,34231,1
522.42,0,34231,1
522.51,0,34220,1
522.52,0,34220,1
522.53,0,34220,1
522.54,0,34220,1
522.55,0,34220,1
522.56,0,34220,1
522.57,0,34220,1
522.61,1,34651,0
522.61,1,34652,0
522.62,0,34231,1
522.63,0,34231,1
522.64,0,34231,1
522.65,0,34231,1
522.66,0,34231,1
522.67,0,37960,0
522.68,0,34231,1
522.69,0,34220,1
523.1,0,34240,1
523.21,0,34653,1
523.22,0,34240,1
523.29,0,34240,1
523.31,0,34240,1
523.32,0,34240,1
523.39,0,34240,1
523.41,0,34240,1
523.42,0,34240,1
523.43,0,34240,1
523.44,0,34240,1
523.45,0,34240,1
523.49,0,34240,1
523.51,0,34653,1
523.52,0,34646,0
523.59,0,34240,1
523.61,0,34240,1
523.63,0,34240,1
523.64,0,34240,1
523.65,0,34240,1
523.72,0,34240,1
523.73,0,34240,1
523.74,0,34240,1
523.79,0,34240,1
