ISIC4code,ISIC4part,NACE2code,NACE2part
559,0,55.9,0
5590,0,55.9,0
56,0,56,0
561,0,56.1,0
5610,0,56.1,0
562,0,56.2,0
5621,0,56.21,0
5629,0,56.29,0
563,0,56.3,0
5630,0,56.3,0
J,0,J,0
58,0,58,0
581,0,58.1,0
5811,0,58.11,0
5812,0,58.12,0
5813,1,58.13,0
5813,1,58.14,0
5819,0,58.19,0
582,0,58.2,0
5820,1,58.21,0
5820,1,58.29,0
59,0,59,0
591,0,59.1,0
5911,0,59.11,0
5912,0,59.12,0
5913,0,59.13,0
5914,0,59.14,0
592,0,59.2,0
5920,0,59.2,0
60,0,60,0
601,0,60.1,0
6010,0,60.1,0
602,0,60.2,0
6020,0,60.2,0
61,0,61,0
611,0,61.1,0
6110,0,61.1,0
612,0,61.2,0
6120,0,61.2,0
613,0,61.3,0
6130,0,61.3,0
619,0,61.9,0
6190,0,61.9,0
62,0,62,0
620,0,62,0
6201,0,62.01,0
6202,1,62.02,0
6202,1,62.03,0
6209,0,62.09,0
63,0,63,0
631,0,63.1,0
6311,0,63.11,0
6312,0,63.12,0
639,0,63.9,0
6391,0,63.91,0
6399,0,63.99,0
K,0,K,0
64,0,64,0
641,0,64.1,0
6411,0,64.11,0
6419,0,64.19,0
642,0,64.2,0
6420,0,64.2,0
643,0,64.3,0
6430,0,64.3,0
649,0,64.9,0
6491,0,64.91,0
6492,0,64.92,0
6499,0,64.99,0
65,0,65,0
651,0,65.1,0
6511,0,65.11,0
6512,0,65.12,0
652,0,65.2,0
6520,0,65.2,0
653,0,65.3,0
6530,0,65.3,0
66,0,66,0
661,0,66.1,0
6611,0,66.11,0
6612,0,66.12,0
6619,0,66.19,0
662,0,66.2,0
6621,0,66.21,0
6622,0,66.22,0
6629,0,66.29,0
663,0,66.3,0
6630,0,66.3,0
L,0,L,0
68,0,68,0
681,1,68.1,0
6810,1,68.1,0
681,1,68.2,0
6810,1,68.2,0
682,0,68.3,0
6820,1,68.31,0
6820,1,68.32,0
M,0,M,0
69,0,69,0
691,0,69.1,0
6910,0,69.1,0
692,0,69.2,0
6920,0,69.2,0
70,0,70,0
701,0,70.1,0
7010,0,70.1,0
702,0,70.2,0
7020,1,70.21,0
7020,1,70.22,0
71,0,71,0
711,0,71.1,0
7110,1,71.11,0
7110,1,71.12,0
712,0,71.2,0
7120,0,71.2,0
72,0,72,0
721,0,72.1,0
7210,1,72.11,0
7210,1,72.19,0
722,0,72.2,0
7220,0,72.2,0
73,0,73,0
731,0,73.1,0
7310,1,73.11,0
7310,1,73.12,0
732,0,73.2,0
7320,0,73.2,0
74,0,74,0
741,0,74.1,0
7410,0,74.1,0
742,0,74.2,0
7420,0,74.2,0
749,1,74.3,0
7490,1,74.3,0
749,1,74.9,0
7490,1,74.9,0
75,0,75,0
750,0,75,0
7500,0,75,0
N,0,N,0
77,0,77,0
771,0,77.1,0
7710,1,77.11,0
7710,1,77.12,0
772,0,77.2,0
7721,0,77.21,0
7722,0,77.22,0
7729,0,77.29,0
773,0,77.3,0
7730,1,77.31,0
7730,1,77.32,0
7730,1,77.33,0
7730,1,77.34,0
7730,1,77.35,0
7730,1,77.39,0
774,0,77.4,0
7740,0,77.4,0
78,0,78,0
781,0,78.1,0
7810,0,78.1,0
782,0,78.2,0
7820,0,78.2,0
783,0,78.3,0
7830,0,78.3,0
79,0,79,0
791,0,79.1,0
7911,0,79.11,0
7912,0,79.12,0
799,0,79.9,0
7990,0,79.9,0
80,0,80,0
801,0,80.1,0
8010,0,80.1,0
802,0,80.2,0
8020,0,80.2,0
803,0,80.3,0
8030,0,80.3,0
81,0,81,0
811,0,81.1,0
8110,0,81.1,0
812,0,81.2,0
8121,0,81.21,0
8129,1,81.22,0
8129,1,81.29,0
813,0,81.3,0
8130,0,81.3,0
82,0,82,0
821,0,82.1,0
8211,0,82.11,0
8219,0,82.19,0
822,0,82.2,0
8220,0,82.2,0
823,0,82.3,0
8230,0,82.3,0
829,0,82.9,0
8291,0,82.91,0
8292,0,82.92,0
8299,0,82.99,0
O,0,O,0
84,0,84,0
841,0,84.1,0
8411,0,84.11,0
8412,0,84.12,0
8413,0,84.13,0
842,0,84.2,0
8421,0,84.21,0
8422,0,84.22,0
8423,1,84.23,0
8423,1,84.24,0
8423,1,84.25,0
843,0,84.3,0
8430,0,84.3,0
P,0,P,0
85,0,85,0
851,0,85.1,0
8510,1,85.1,0
851,0,85.2,0
8510,1,85.2,0
852,0,85.3,0
8521,0,85.31,0
8522,0,85.32,0
853,0,85.4,0
8530,1,85.41,0
8530,1,85.42,0
854,0,85.5,0
8541,0,85.51,0
8542,0,85.52,0
8549,1,85.53,0
8549,1,85.59,0
855,0,85.6,0
8550,0,85.6,0
Q,0,Q,0
86,0,86,0
861,0,86.1,0
8610,0,86.1,0
862,0,86.2,0
8620,1,86.21,0
8620,1,86.22,0
8620,1,86.23,0
869,0,86.9,0
8690,0,86.9,0
87,0,87,0
871,0,87.1,0
8710,0,87.1,0
872,0,87.2,0
8720,0,87.2,0
873,0,87.3,0
8730,0,87.3,0
879,0,87.9,0
8790,0,87.9,0
88,0,88,0
881,0,88.1,0
8810,0,88.1,0
889,0,88.9,0
8890,1,88.91,0
8890,1,88.99,0
R,0,R,0
90,0,90,0
900,0,90,0
9000,1,90.01,0
9000,1,90.02,0
9000,1,90.03,0
9000,1,90.04,0
91,0,91,0
910,0,91,0
9101,0,91.01,0
9102,1,91.02,0
9102,1,91.03,0
9103,0,91.04,0
92,0,92,0
920,0,92,0
9200,0,92,0
93,0,93,0
931,0,93.1,0
9311,1,93.11,0
9312,0,93.12,0
9311,1,93.13,0
9319,0,93.19,0
932,0,93.2,0
9321,0,93.21,0
9329,0,93.29,0
S,0,S,0
94,0,94,0
941,0,94.1,0
9411,0,94.11,0
9412,0,94.12,0
942,0,94.2,0
9420,0,94.2,0
949,0,94.9,0
9491,0,94.91,0
9492,0,94.92,0
9499,0,94.99,0
95,0,95,0
951,0,95.1,0
9511,0,95.11,0
9512,0,95.12,0
952,0,95.2,0
9521,0,95.21,0
9522,0,95.22,0
9523,0,95.23,0
9524,0,95.24,0
9529,1,95.25,0
9529,1,95.29,0
96,0,96,0
960,0,96,0
9601,0,96.01,0
9602,0,96.02,0
9603,0,96.03,0
9609,1,96.04,0
9609,1,96.09,0
T,0,T,0
97,0,97,0
970,0,97,0
9700,0,97,0
98,0,98,0
981,0,98.1,0
9810,0,98.1,0
982,0,98.2,0
9820,0,98.2,0
U,0,U,0
99,0,99,0
990,0,99,0
9900,0,99,0
